Organization Name,Organization Name URL,Industries,Description,Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Date,Headquarters Location,Full Description
Medtronic,https://www.crunchbase.com/organization/medtronic,"Biotechnology, Health Care, Health Diagnostics, Manufacturing, Medical, Medical Device, Therapeutics",Medtronic develops and manufactures medical device technologies and therapies to treat chronic diseases worldwide.,10001+,357000000,USD,357000000,2020-06-15,"Minneapolis, Minnesota, United States","Medtronic develops healthcare technology to treat chronic disease. Its medical technology is providing lifelong solutions for people with chronic pain. Medtronic has four main business units: the Minimally Invasive Therapies Group, the Diabetes Group, the Restorative Therapies Group, and the Cardiac and Vascular Group. Medtronic develops and manufactures devices and therapies to treat more than 30 chronic diseases that include heart failure, Parkinson disease, urinary incontinence, Down syndrome, obesity, chronic pain, spinal disorders, and diabetes."
Goldman Sachs,https://www.crunchbase.com/organization/goldman-sachs,"Banking, Finance, Financial Services, Security, Venture Capital","Goldman Sachs is a multinational financial services firm providing securities, and investment banking and management services.",10001+,,,,,"New York, New York, United States","The Goldman Sachs Group, Inc. provides investment banking, securities, and investment management services, as well as financial services to corporations, financial institutions, governments, and high-net-worth individuals worldwide. Its Investment Banking segment offers financial advisory services, including advisory assignments with respect to mergers and acquisitions, divestitures, corporate defense, risk management, and restructurings and spin-offs; and underwriting services comprising public offerings and private placements of a range of securities, loans and other financial instruments, and derivative transactions. The company’s Institutional Client Services segment provides client execution services, such as fixed income, currency, and commodities client execution related to making markets in interest rate products, credit products, mortgages, currencies, and commodities; and equities related to making markets in equity products, as well as executes and clears institutional client transactions on stock, options, and futures exchanges. This segment also engages in securities services business providing financing, securities lending, and other brokerage services to institutional clients, including hedge funds, mutual funds, pension funds, and foundations. Its Investing and Lending segment originates longer-term loans; and invests in debt securities, loans, public and private equity securities, real estate, consolidated investment entities, distressed assets, currencies, commodities, and power generation facilities. The company’s Investment Management segment provides investment products and services, as well as offers wealth advisory services, including portfolio management and financial counseling, and brokerage and other transaction services. The Goldman Sachs Group, Inc. was founded in 1869 and is headquartered in New York, New York."
Creative Destruction Lab,https://www.crunchbase.com/organization/creative-destruction-lab,"Advice, Angel Investment, Finance, Quantum Computing, Venture Capital","Creative Destruction Lab is a seed-stage program for massively scalable, science- and technology-based ventures.",51-100,29000000,USD,29000000,2018-10-09,"Toronto, Ontario, Canada","The Creative Destruction Lab is a seed-stage program for massively scalable, science- and technology-based ventures. It employs a unique, objectives-focused coaching process to help founders commercialize advances in science and technology. The program pairs startups with exited entrepreneurs and star scientists in areas such as artificial intelligence, quantum computing, healthcare, blockchain, energy, and cleantech. Founded at the Rotman School of Management at the University of Toronto, CDL now operates locations in six cities including Vancouver, Calgary, Toronto, Montreal, Halifax, and Oxford."
Square,https://www.crunchbase.com/organization/square,"Finance, FinTech, Hardware, Mobile, Mobile Payments, Payments, Software",Square is a merchant services aggregator and mobile payment company that aims to simplify commerce through technology.,1001-5000,590500000,USD,590500000,2016-07-31,"San Francisco, California, United States","Square helps anyone take care of their business. Square's complete register service is a full point of sale with tools for every part of running a business, from accepting credit cards and tracking sales and inventory to small-business financing. Customers also use Square Cash, the easiest way to send and receive money, and Square Order, a new way to pre-order food and drinks for pickup.  Founded in 2009 and headquartered in San Francisco, Square is currently available in the United States, Canada, and Japan."
Compass,https://www.crunchbase.com/organization/compassinc,"E-Commerce Platforms, Local, Mobile, Property Management, Real Estate","Compass is building the first modern real estate platform, pairing the industry’s top talent with technology.",1001-5000,1578999972,USD,1578999972,2019-11-11,"New York, New York, United States","Compass operates as a real estate brokerage company. It also provides a real estate listing app for iOS and Android that helps in buying, selling, and renting homes in the United States.  Ori Allon, Robet Reffkin, and Ugo Di Girolamo founded Urban Compass on October 4, 2012 that became Compass in February 2015. Its headquarters is in New York City with additional offices in the United States."
Comcast,https://www.crunchbase.com/organization/comcast,"Internet, Telecommunications, TV, Video, Web Hosting",Comcast Corporation is a global media and technology company.,10001+,4000000000,USD,4000000000,2020-03-25,"Philadelphia, Pennsylvania, United States","Comcast Corporation is a global media and technology company with two primary businesses, Comcast Cable and NBCUniversal. Comcast Cable is one of the nation’s largest video, high-speed internet, and phone providers to residential customers under the XFINITY brand, and also provides these services to businesses. It also provides wireless and security and automation services to residential customers under the XFINITY brand. NBCUniversal operates news, entertainment, and sports cable networks, the NBC and Telemundo broadcast networks, television production operations, television station groups, Universal Pictures, and Universal Parks and Resorts."
WhatsApp,https://www.crunchbase.com/organization/whatsapp,"Android, Messaging, Mobile, Subscription Service","WhatsApp is a proprietary, cross-platform, free instant messaging subscription service for smartphones.",5001-10000,60250000,USD,60250000,2013-07-01,"Santa Clara, California, United States","WhatsApp Messenger is a cross-platform mobile messaging app which allows users to exchange messages without having to pay for SMS. WhatsApp Messenger is available for iPhone, Blackberry, Android, Windows Phone, Nokia, and Symbian platforms. Since WhatsApp Messenger uses the same internet data plan that subscribers use for email and web browsing, there is no cost to message and allows them to stay in touch with their friends. In addition to basic messaging WhatsApp users can create groups, send each other unlimited images, video, and audio media messages."
Lenovo,https://www.crunchbase.com/organization/lenovo,"Computer, Electronics, Hardware, Manufacturing, Mobile",Lenovo Group is a Chinese multinational computer technology company.,10001+,850025000,USD,850025000,2017-10-03,"Morrisville, North Carolina, United States","Lenovo is one of the world's leading personal technology companies, producing innovative PCs and mobile internet devices. A global Fortune 500 company, Lenovo is the world's largest PC vendor and fourth largest smartphone company. While the Lenovo brand came into existence only in 2004, the company has a much longer history. In 1984, Legend Holdings was formed with 200,000 RMB (US$25,000) in a guard house in China. The company was incorporated in Hong Kong in 1988 and would grow to be the largest PC company in China. Legend Holdings changed its name to Lenovo in 2004 and, in 2005, acquired the former Personal Computer Division of IBM, the company that invented the PC industry in 1981. Today, Lenovo is a US$39billion personal technology company with more than 54,000 employees (including joint ventures) in more than 60 countries serving customers in more than 160 countries. Lenovo is a global company that is incorporated and headquartered in Hong Kong, with operational centers located strategically around the world , with the largest in Beijing and Morrisville, NC. These operational centers drive Lenovo’s global and local business approach. Lenovo has grown faster than the market for more than four years because our exceptionally engineered products are meant for those who do. Our customers use innovation to bring progress to the world, and we design and build our products with this in mind, taking inspiration from the drive and imagination of the people who make things happen. Our technology helps those who do, do better.   Whether a PC, smartphone, tablet, smart TV, server, workstation or storage, Lenovo makes the products that customers need for what we call the ""PC+ world."" Lenovo is creating real differentiation from the competition thanks to its vertically integrated end-to-end business model. This model is unique among major PC makers and is a significant source of competitive advantage, helping us to bring more innovation to market, more efficiently, and aggressively attack the PC+ opportunity. And as Lenovo expands globally, we are establishing even deeper roots in each major market, investing not only in sales and distribution, but also in local domestic manufacturing, R&D and other high-value functions. This global reach with local excellence is enabling us to build a new kind of company - a ""global-local"" company - and positions us to more deeply implement our protect and attack strategy and build the foundation for long-term success."
Skydio,https://www.crunchbase.com/organization/skydio,"Aerospace, Artificial Intelligence, Drones, Robotics, Sensor","Skydio uses artificial intelligence to create flying drones that are used by consumer, enterprise, and government customers.",101-250,170000000,USD,170000000,2020-07-13,"Redwood City, California, United States","Skydio is a drone manufacturer and world leader in autonomous flight. The company leverages AI to create intelligent flying machines for use by consumers, enterprises, and government customers. Its solutions are used by enterprises across a wide range of industry sectors."
Flutterwave,https://www.crunchbase.com/organization/flutterwave,"Developer APIs, FinTech, Payments, Software",Flutterwave provides a payment service for global merchants and payment service providers.,11-50,64513837,USD,64513837,2020-01-21,"San Francisco, California, United States","Flutterwave provides a payment service for global merchants and payment service providers. It provides technology, infrastructure, and services to enable global merchants, payment service providers, and helps banks and businesses build secure and seamless payment solutions for their customers by smoothening the exchange of funds. The company was founded in 2016 by Iyinoluwa Aboyeji and Olugbenga Agboola and is headquartered in San Francisco, California."
Facebook,https://www.crunchbase.com/organization/facebook,"E-Commerce, Mobile Apps, Social, Social Media, Social Network, Video Streaming",Facebook is an online social networking service that enables its users to connect with friends and family.,10001+,2335700000,USD,2335700000,2013-06-30,"Menlo Park, California, United States","Facebook is an online social networking service that allows its users to connect with friends and family as well as make new connections. It provides its users with the ability to create a profile, update information, add images, send friend requests, and accept requests from other users. Its features include status update, photo tagging and sharing, and more. Facebook’s profile structure includes a timeline, information related to the user, images of the user, images added by friends of the user, notes, pages, groups, and more. It enables its users to create pages related to entertainment, sports, business, finance, preferences, hobbies, culture, religion, causes, organizations, and a number of other categories. It also enables its users to join or create groups related to a vast number of categories. With millions of more users, [Friendster](http://www.crunchbase.com/organization/friendster) attempted to acquire the company for $10 million in mid-2004. Facebook turned down the offer and subsequently received $12.7 million in funding from [Accel Partners](http://www.crunchbase.com/organization/accel-partners) at a valuation of around $100 million. Facebook continued to grow opening up to high school students in September 2005 and adding a photo sharing feature the next month. The next spring, Facebook received $25 million in funding from [Greylock Partners](http://www.crunchbase.com/organization/greylock) and [Meritech Capital](http://www.crunchbase.com/organization/meritech-capital-partners) as well as previous investors [Accel Partners](http://www.crunchbase.com/organization/accel-partners) and [Peter Thiel](http://www.crunchbase.com/person/peter-thiel). The pre-money valuation for this deal was about $525 million. Facebook subsequently opened up to work networks eventually amassing over 20,000 work networks. Finally in September 2006, Facebook was opened to anyone with an email address. Facebook continued to receive funding most notably in January 2011 receiving $1.5 billion and valuing the company at $50 billion. A year later in February 2012, Facebook announced that it was filing for its long-anticipated initial public offering. The company went public on May 18, 2012 opening in [NASDAQ](http://www.crunchbase.com/organization/nasdaq-private-market) with shares trading at $42.05. Facebook announced positive numbers in February 2012 upon filing for its IPO. As of July 2013 over 1.15 billion users have logged into Facebook every month and 669 million users daily. Mobile users now make up half of Facebook’s user base with 819 million monthly actives. Facebook is one of the most trafficked sites in the United States. Additionally, Facebook is the top photo sharing site with 250 million photos uploaded per day. The company has strategic partnership with AXA Group to develop marketing and commercial collaboration in the digital, social, and mobile sphere. Facebook is currently the owner of many applications and services such as Pagemodo Pagebuilder, [RSS Graffiti](http://www.crunchbase.com/organization/rss-graffiti), Huddle, and more. It is the world’s largest social network with over 1.32 billion monthly active users. Facebook was founded by Mark Zuckerberg on February 4, 2004 in Menlo Park, California."
Citigroup,https://www.crunchbase.com/organization/citigroup,"Banking, Credit Cards, Financial Services, Wealth Management",Citigroup is a diversified financial services holding company that provides various financial products and services.,10001+,8700000000,USD,8700000000,2018-05-08,"New York, New York, United States","Citigroup is a diversified financial services holding company that provides various financial products and services. The company operates through two segments, Global Consumer Banking (GCB) and Institutional Clients Group (ICG). The GCB segment offers traditional banking services to retail customers through retail banking, commercial banking, Citi-branded cards, and Citi retail services. The ICG segment offers various banking, and financial products and services to corporate, institutional, public sector, and high-net-worth clients. This segment provides wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative services, equity and fixed income research, corporate lending, investment banking and advisory services, private banking, cash management, trade finance, and securities services. Citigroup Inc. was founded in 1812 and is based in New York, United States."
PolicyBazaar,https://www.crunchbase.com/organization/policybazaar,"Auto Insurance, Commercial Insurance, Finance, Health Insurance, Internet, Life Insurance",PolicyBazaar designs an online life insurance and general insurance comparison portal that analyzes financial products.,10001+,626600000,USD,626600000,2020-07-07,"Gurgaon, Haryana, India","PolicyBazaar designs an online life insurance and general insurance comparison portal that analyzes financial products. Its insurance comparison portal and mobile application provides information across products such as medical, term life, travel or motor insurance, low prices ULIPS, and other investment products, enabling consumers to compare and analyze financial products."
Apple,https://www.crunchbase.com/organization/apple,"Consumer Electronics, Electronics, Hardware, Mobile Devices, Retail, Software","Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.",10001+,6150250000,USD,6150250000,2017-09-06,"Cupertino, California, United States","Apple is a multinational corporation that designs, manufactures, and markets mobile communication and media devices, personal computers, portable digital music players, and sells a variety of related software, services, peripherals, networking solutions, and third-party digital content and applications. Apple provides many products and services, including iPhone; iPad; iPod; Mac; Apple TV; a portfolio of consumer and professional software applications; the iOS and OS X operating systems; iCloud; and accessories, service, and support offerings.  It sells its products worldwide through its retail stores, online stores, direct sales force and third-party cellular network carriers, wholesalers, retailers, and value-added resellers to the consumer and also sells third-party iPhone, iPad, Mac and iPod compatible products, including application software and accessories through its online and retail stores. Introduced in 1984, the Macintosh was the first widely sold personal computer with a graphical user interface (GUI). That feature and others such as an improved floppy drive design and a low-cost hard drive that made data retrieval faster helped Apple cultivate a reputation for innovation. Apple was named as the most admired company in the United States in 2008 and in the world from 2008 to 2012 by the Fortune magazine. The company was founded by Steven Paul Jobs, Steve Wozniak, and Ronald Gerald Wayne on April 1, 1976, and is headquartered in Cupertino, California."
Twilio,https://www.crunchbase.com/organization/twilio,"Apps, Enterprise Software, Internet, Messaging, Mobile Apps, SMS, VoIP","Twilio is a cloud communication company that enables users to use standard web languages to build voice, VoIP, and SMS apps via a web API. ",1001-5000,263800000,USD,263800000,2018-02-15,"San Francisco, California, United States","Twilio, the developer platform for communications is reinventing telecom by merging the worlds of cloud computing, web services, and telecommunications. With Twilio, developers and businesses make communications more contextual by embedding voice, video, messaging, and authentication directly into applications.  It was founded in 2008 and headquartered in San Francisco, California."
Shine,https://www.crunchbase.com/organization/shine-text,"Consumer Software, Messaging, Mobile Apps, SMS, Wellness",Shine is an award-winning self-care app and community for people with anxiety & depression.,11-50,8250000,USD,8250000,2018-04-04,"New York, New York, United States","Shine is an award-winning self-care app and community for people with anxiety & depression.  Our approach to wellness: It isn’t pricey, preachy, or privileged. We pride ourselves on being accessible, actionable, and non-shamey—we believe personal growth starts with accepting who you are today. Our members take care of their mental and emotional health daily with the freemium Shine app. It delivers a new motivational message and meditation each day, plus features a library of 500+ meditations to help them cope with specific feelings and situations. Our premium members also get real-time advice from other Shine members in our private Shine Squad digital community—it’s peer-to-peer support that reminds them they don’t have to go it alone. In just two years since launching, our app already has over 10,000 5-star reviews (1 in 3 call Shine “life-changing”), we were named one of the best self-care apps of 2018 by Apple, and we’ve seen that increased use of Shine is correlated with decreases in both anxiety and depression by up to 35%. Our team is awesome. Our community is incredible. Our movement is massive. And this is just the beginning."
Cityblock Health,https://www.crunchbase.com/organization/cityblock-health,"Fitness, Health Care, Wellness",Cityblock is a healthcare company that address the root causes of health for underserved urban populations.,11-50,139300000,USD,139300000,2020-07-15,"Brooklyn, New York, United States","Cityblock is a tech-driven provider for communities with complex needs it focuses on investing upstream in highly personalized, prevention-oriented health and social care to ultimately drive down costs and improve outcomes. Its technology enables scale by bringing together practical information, coordination, and communication for its members and care teams.  The company was founded in 2017 and headquartered in Brooklyn, New York."
Novavax,https://www.crunchbase.com/organization/novavax-ab,"Biopharma, Biotechnology, Health Care, Pharmaceutical",Novavax is a clinical-stage biotechnology company focused on the discovery and development of innovative vaccines.,251-500,2376620000,USD,2376620000,2020-07-07,"Gaithersburg, Maryland, United States","Novavax is a late-stage biotechnology company that promotes improved health globally through the discovery, development, and commercialization of innovative vaccines to prevent serious infectious diseases. Novavax recently initiated the development of NVX-CoV2373, its vaccine candidate against SARS-CoV-2, the virus that causes COVID-19, with Phase 1 clinical trial results expected in July of 2020. NanoFlu™, its quadrivalent influenza nanoparticle vaccine, met all primary objectives in its pivotal Phase 3 clinical trial in older adults. Both vaccine candidates incorporate Novavax’ proprietary saponin-based Matrix-M™ adjuvant in order to enhance the immune response and stimulate high levels of neutralizing antibodies. Novavax is a leading innovator of recombinant vaccines; its proprietary recombinant technology platform combines the power and speed of genetic engineering to efficiently produce highly immunogenic nanoparticles in order to address urgent global health needs."
QueQ,https://www.crunchbase.com/organization/queq,"Apps, Lifestyle, Search Engine",QueQ helps users manage time  wisely at crowded places.,51-100,2850000,USD,2850000,2019-03-29,"Bangkok, Krung Thep, Thailand","QueQ is a revolutionary queuing system that allows users to virtually stand in line. The users can simply book their queue within 2 km away from outlet via mobile application, then continuing to enjoy their current activities without being worried about missing the queue. The queue length will be updated via the app in real time. Once coming close to the user’s queue, an alert is automatically sent, informing the user to get back to the shop/restaurants on time. Currently, QueQ has dominated in chain restaurant industry  with million users in its platform then targeting to next industries which is hospital and health care in Thailand and Malaysia. For next further step, this shall be data farming of user behaviors driving business expansion for advertisement area."
Monzo,https://www.crunchbase.com/organization/monzo,"Banking, Finance, Financial Services, FinTech",Monzo is a digital-only bank platform and marketplace that allows customers to access a range of products and services.,1001-5000,384678108,GBP,492842818,2020-06-16,"London, England, United Kingdom",Monzo (previously Mondo) is a bank for people who live their lives on their smartphones and is targeted at people who want to get things done in a click and who don’t see the need for branches and cheque books. The platform is focussed on building the best current account in the world and ultimately working with a range of other providers so that Monzo can be an intelligent hub for your entire financial life.
Crowdcube,https://www.crunchbase.com/organization/crowdcube,"Business Development, Finance, Financial Services, FinTech, Funding Platform, Venture Capital",Crowdcube is an equity crowdfunding platform for entrepreneurs of start-ups and growing businesses.,51-100,48851597,USD,48851597,2018-11-07,"Exeter, Devon, United Kingdom","Crowdcube is an equity crowdfunding platform for entrepreneurs of start-ups and growing businesses. Crowdcube enables individuals to invest or loan in small companies in return for equity or an annual return. As an investment crowdfunding platform, Crowdcube enables entrepreneurs to raise finance with the added benefit of being backed by the crowd. For investors, Crowdcube provides a way to handpick a stake in an innovative business that traditionally would have been restricted to corporate investors. Since Crowdcube first pioneered equity crowdfunding in 2011, a total of £300m has been invested through the platform from a crowd of over 390,000 investors, with more than £230m successfully invested in 520 raises. Businesses like the challenger bank Monzo, which raised £1 million in a record-breaking 96 seconds, as well as household brand names such as River Cottage and the Eden Project along with venture capital-backed businesses such as JustPark, eMoov and Sugru have all successfully raised growth funding from the crowd."
Klarna,https://www.crunchbase.com/organization/klarna,"Banking, E-Commerce, Finance, Financial Services, FinTech, Payments",Klarna is an e-commerce payment solutions platform for merchants and shoppers.,1001-5000,1434713451,USD,1434713451,2020-03-04,"Stockholm, Stockholms Lan, Sweden","Klarna is an e-commerce payment solutions platform for merchants and shoppers. The platform gives customers the freedom to choose how and when to pay. They also offers direct payments, pay after delivery options, and installment plans. Klarna was founded in 2005 in Stockholm, Sweden by Sebastian Siemiatkowski, Niklas Adalberth, and Victor Jacobsson."
TransferWise,https://www.crunchbase.com/organization/transferwise,"Finance, Financial Services, FinTech, Payments, Peer to Peer",TransferWise is a money transfer service allowing private individuals and businesses to send money abroad without hidden charges.,1001-5000,1091682792,USD,1091682792,2020-07-29,"London, England, United Kingdom","TransferWise provides a core money transfer product, along with a borderless account for its audience of expats, freelancers, and travellers, which holds over £2 billion in current deposits."
